date,title,amount
2026-04-14,Dl*Google Premie,29.90
2026-04-13,Uber - NuPay,8.47
2026-04-13,Angeloni Super Loja,36.96
2026-04-09,Avanti Palmeiras,9.99
2026-04-09,Mp *Melimais,10.99
2026-04-09,Dl*Google Google,49.99
2026-04-07,Pagamento recebido,-12327.50
2026-04-06,NuTag*MKO0A53,5.70
2026-04-06,Nu Seguro Vida,48.17
2026-04-06,NuTag*MKO0A53,5.70
2026-04-05,Ezzeseg*Ezze Seguros,144.87
2026-04-04,NuTag*MKO0A53,5.70
2026-04-04,Posto M7 Rio Cerro,14.97
2026-04-03,NuTag*MKO0A53,5.70
2026-04-03,Plano NuCel,45.00
2026-04-03,Bar Gr2 Society Jaragu,72.00
2026-04-03,Angeloni Super Loja,92.60
2026-04-03,Dl*Google Clash,24.40
2026-04-02,Sua Academia,79.92
2026-04-02,Abastec*Abastece Ai,328.78
2026-04-02,Google Youtube Premium,16.90
2026-04-02,Amazon BR VI - NuPay - Parcela 1/2,34.45
2026-04-02,Sua Academia,59.94
2026-04-02,Big Lanches Ltda,20.00
2026-04-02,Oh My Bread,56.00
2026-04-01,EBW*NuViagens - NuPay - Parcela 5/8,477.02
2026-04-01,Pgz*Japestofados - Parcela 6/10,540.00
2026-04-01,Lunelli - Parcela 10/10,65.39
2026-04-01,Lecimar Confeccoes - Parcela 2/4,51.12
2026-04-01,Mercado*Mercadolivre - Parcela 8/9,21.11
2026-04-01,Mercadolivre*Azbuy - Parcela 6/6,11.83
2026-04-01,Pg *Nuvem Selleaction - Parcela 5/5,20.10
2026-04-01,Paladio Simara Joalher - Parcela 3/12,366.33
2026-04-01,Dl*Bookingcom407 - Parcela 10/10,393.15
2026-04-01,Mlp*Netshoes - Parcela 6/6,71.14
2026-04-01,Ecommerce Un*Underarmo - Parcela 6/7,35.99
2026-04-01,Asa*Maicon Venturi And - Parcela 8/10,550.00
2026-04-01,Mercadolivre*Mercadol - Parcela 6/9,20.00
2026-04-01,Dm *Temu - Parcela 3/6,42.04
2026-04-01,Oxford - Parcela 8/10,63.40
2026-04-01,Shopee*Raga Confeccoes - Parcela 2/2,52.10
2026-04-01,Consoli Eventos - Parcela 10/12,83.33
2026-04-01,Parcelamento de Fatura (09/Junho) - 11/18,850.30
